date,city,state,injured,killed,lat,lng
"February 23, 2016",Glendale,Arizona,0,5,33.5389854,-112.1858156
"February 23, 2016",Daytona Beach,Florida,4,0,29.2108147,-81.022833
"February 21, 2016",Hazelwood,Missouri,3,1,38.7714396,-90.3709488
"February 21, 2016",Houston,Texas,5,0,29.7589382,-95.3676973
"February 20, 2016",Tampa,Florida,3,1,27.9477595,-82.4584439
"February 20, 2016",Bessemer,Alabama,3,1,33.3823635,-86.9172047
"February 20, 2016",Orlando,Florida,4,0,28.5421175,-81.3790461
"February 20, 2016",Iuka,Mississippi,3,2,34.809352,-88.1941237
"February 20, 2016",Kalamazoo,Michigan,2,6,42.291707,-85.5872285
"February 19, 2016",Edgerton,Missouri,0,4,39.5049976,-94.6332895
"February 19, 2016",Vallejo,California,3,1,38.1040864,-122.2566366
"February 14, 2016",Houston,Texas,3,1,29.7589382,-95.3676973
"February 14, 2016",Eutaw (Union),Alabama,5,0,32.84068,-87.88751
"February 13, 2016",Marrero,Louisiana,4,0,29.8993723,-90.1003505
"February 7, 2016",Pass Christian,Mississippi,4,2,30.3157527,-89.2475429
"February 7, 2016",Orlando,Florida,10,2,28.5421175,-81.3790461
"February 7, 2016",Rochester,New York,7,1,43.1572851,-77.6152141
"February 7, 2016",Chicago (Englewood),Illinois,4,0,41.7790752,-87.6684426
"February 6, 2016",Los Angeles,California,3,1,34.0543942,-118.2439408
"February 6, 2016",Apopka,Florida,4,0,28.7414145,-81.5344293
"February 6, 2016",Tampa,Florida,6,2,27.9477595,-82.4584439
"February 3, 2016",Washington,District of Columbia,4,0,38.8949549,-77.0366455
"January 30, 2016",Denver,Colorado,3,1,39.7391536,-104.9847033
"January 30, 2016",Glendale,Arizona,5,3,33.558997,-112.404683
"January 27, 2016",Chesapeake,Virginia,0,6,36.7183708,-76.2466797
"January 26, 2016",Seattle,Washington,3,2,47.6038321,-122.3300623
"January 25, 2016",Perris,California,4,1,33.7825194,-117.2286477
"January 23, 2016",Los Angeles,California,2,2,34.0543942,-118.2439408
"January 17, 2016",Ware Neck (Gloucester Courthouse),Virginia,3,1,37.40264,-76.45856
"January 11, 2016",Wilmington,Delaware,4,1,39.7459468,-75.5465889
"January 8, 2016",Washington,District of Columbia,4,0,38.8949549,-77.0366455
"January 8, 2016",Chicago,Illinois,4,1,41.8755546,-87.6244211
"January 7, 2016",Memphis,Tennessee,3,1,35.1490215,-90.0516284
"January 6, 2016",Lakeland,Florida,1,3,28.0394654,-81.9498041
